Region,ISO3,Scenario,xx,xx,2019,2020,2021,2022,2023,2024
AFR,BWA,Baseline,All,lo,59.5844,56.8021,53.7589,51.1031,49.2217,47.0186
xx,xx,xx,xx,md,76.4713,72.6177,70.3432,68.3541,66.3157,64.2876
xx,xx,xx,xx,hi,94.0742,89.9565,87.5638,85.6312,83.6848,82.6299
xx,xx,xx,HIV +ve,lo,35.8399,33.4491,30.142,27.1125,24.0295,21.6937
xx,xx,xx,xx,md,47.5758,45.6334,43.1551,41.3391,40.0893,39.176
xx,xx,xx,xx,hi,63.0822,58.7075,56.8133,55.8271,54.2738,52.6744
xx,xx,With COVID,All,lo,59.5844,60.2114,62.6886,60.3017,53.7987,50.3302
xx,xx,xx,xx,md,76.4713,76.5481,81.3715,79.7159,72.4145,68.87
xx,xx,xx,xx,hi,94.0742,94.7259,100.51,98.434,91.3772,87.6743
xx,xx,xx,HIV +ve,lo,35.8399,35.1552,34.383,31.0292,26.0203,23.2006
xx,xx,xx,xx,md,47.5758,47.831,49.6497,48.0629,43.3494,41.0866
xx,xx,xx,xx,hi,63.0822,62.2918,65.0159,64.5903,59.2929,56.561
xx,NAM,Baseline,All,lo,78.0661,74.6182,70.3748,66.4579,63.2214,61.2806
xx,xx,xx,xx,md,104.05,98.6119,95.6746,92.961,90.2836,87.7856
xx,xx,xx,xx,hi,136.7723,133.6861,131.2939,129.7462,128.3517,125.845
xx,xx,xx,HIV +ve,lo,34.0443,31.7349,29.4527,27.4877,26.0164,24.0179
xx,xx,xx,xx,md,48.8948,46.4748,44.7551,43.3276,41.8197,40.4951
xx,xx,xx,xx,hi,69.8481,68.2393,64.9801,63.1558,61.8206,60.5847
xx,xx,With COVID,All,lo,78.0661,79.2368,82.8851,78.1087,69.5668,65.5915
xx,xx,xx,xx,md,104.05,104.5108,109.7236,108.1839,98.7264,93.9468
xx,xx,xx,xx,hi,136.7723,142.3219,155.7459,153.6207,141.7141,136.5132
xx,xx,xx,HIV +ve,lo,34.0443,33.107,33.4995,31.9485,28.5013,25.4374
xx,xx,xx,xx,md,48.8948,48.3952,51.1644,49.8736,45.1222,42.5828
xx,xx,xx,xx,hi,69.8481,70.4259,73.9058,71.1039,65.5776,62.7732
xx,SWZ,Baseline,All,lo,53.9276,51.0012,48.4685,45.9504,43.4518,41.0563
xx,xx,xx,xx,md,81.7553,77.967,74.2519,72.1775,70.1143,67.7468
xx,xx,xx,xx,hi,116.9969,112.4582,110.0749,108.2402,105.897,103.8808
xx,xx,xx,HIV +ve,lo,34.4683,31.9181,28.6558,26.1487,24.6554,23.3977
xx,xx,xx,xx,md,60.577,57.5609,54.3642,52.2524,50.306,49.0107
xx,xx,xx,xx,hi,93.7891,90.9915,88.7238,86.6187,84.6425,83.0335
xx,xx,With COVID,All,lo,53.9276,54.0678,56.5185,53.3392,47.9803,44.5322
xx,xx,xx,xx,md,81.7553,81.2384,85.2892,83.0632,75.8721,72.0102
xx,xx,xx,xx,hi,116.9969,119.848,130.1168,128.2164,117.7046,112.3768
xx,xx,xx,HIV +ve,lo,34.4683,33.636,32.4627,30.5059,27.3301,25.3316
xx,xx,xx,xx,md,60.577,59.6214,61.9575,60.1475,54.7819,51.5025
xx,xx,xx,xx,hi,93.7891,94.3581,101.0509,98.8036,91.1322,87.3339
xx,SYC,Baseline,All,lo,0.86333,0.80417,0.76038,0.71106,0.66061,0.62191
xx,xx,xx,xx,md,1.3422,1.2956,1.26,1.2159,1.1782,1.1478
xx,xx,xx,xx,hi,2.0418,1.9442,1.9065,1.8722,1.8402,1.8088
xx,xx,xx,HIV +ve,lo,0.025705,0.024969,0.02451,0.023819,0.023223,0.022693
xx,xx,xx,xx,md,0.35939,0.33321,0.31625,0.29763,0.28519,0.27495
xx,xx,xx,xx,hi,4.8202,4.706,4.6077,4.5193,4.4365,4.3566
xx,xx,With COVID,All,lo,0.86333,0.84517,0.8783,0.84541,0.73965,0.6794
xx,xx,xx,xx,md,1.3422,1.3602,1.4623,1.4361,1.3034,1.2424
xx,xx,xx,xx,hi,2.0418,2.0529,2.2114,2.1925,2.0116,1.9259
xx,xx,xx,HIV +ve,lo,0.025705,0.025986,0.027507,0.027269,0.02535,0.024122
xx,xx,xx,xx,md,0.35939,0.35229,0.35113,0.34987,0.3045,0.28828
xx,xx,xx,xx,hi,4.8202,4.9384,5.3015,5.2198,4.7651,4.5544
AMR,ABW,Baseline,xx,lo,0.10929,0.10803,0.1069,0.10587,0.1049,0.10398
xx,xx,xx,xx,md,0.17641,0.17578,0.17515,0.17435,0.17427,0.17363
xx,xx,xx,xx,hi,0.26196,0.26013,0.25852,0.25708,0.25576,0.25465
xx,xx,With COVID,xx,lo,0.10929,0.12304,0.14634,0.14675,0.11732,0.11208
xx,xx,xx,xx,md,0.17641,0.19776,0.24696,0.25235,0.20408,0.19197
xx,xx,xx,xx,hi,0.26196,0.29581,0.37192,0.38855,0.30964,0.29159
xx,ARG,Baseline,xx,lo,1.5867,1.5703,1.5564,1.5442,1.5335,1.5238
xx,xx,xx,xx,md,1.7869,1.7674,1.7536,1.7461,1.7352,1.7328
xx,xx,xx,xx,hi,1.9964,1.9754,1.9683,1.9614,1.9497,1.9353
xx,xx,With COVID,xx,lo,1.5867,1.7757,2.1533,2.1783,1.6953,1.6141
xx,xx,xx,xx,md,1.7869,2.0278,2.5116,2.5388,2.0547,1.9319
xx,xx,xx,xx,hi,1.9964,2.3058,2.9156,3.0281,2.4753,2.3197
xx,BHS,Baseline,xx,lo,0.9162,0.9095,0.89897,0.88985,0.8827,0.87687
xx,xx,xx,xx,md,1.2955,1.2807,1.2731,1.2639,1.2549,1.2424
xx,xx,xx,xx,hi,1.7997,1.7824,1.7658,1.7434,1.7231,1.7043
xx,xx,With COVID,xx,lo,0.9162,1.0396,1.2964,1.2736,1.0034,0.95007
xx,xx,xx,xx,md,1.2955,1.4591,1.8184,1.861,1.4859,1.4063
xx,xx,xx,xx,hi,1.7997,2.0614,2.5816,2.6774,2.1822,2.0519
xx,BLZ,Baseline,xx,lo,2.2823,2.2598,2.2318,2.2055,2.1838,2.1642
xx,xx,xx,xx,md,2.7097,2.6878,2.6633,2.6353,2.6227,2.6082
xx,xx,xx,xx,hi,3.1926,3.1707,3.1508,3.1344,3.1188,3.1038
xx,xx,With COVID,xx,lo,2.2823,2.5775,3.1244,3.1848,2.5485,2.3869
xx,xx,xx,xx,md,2.7097,3.087,3.8105,3.8138,3.0982,2.9088
xx,xx,xx,xx,hi,3.1926,3.6152,4.6115,4.7321,3.8543,3.6065
xx,BOL,Baseline,xx,lo,8.0713,7.971,7.8891,7.8237,7.7703,7.7207
xx,xx,xx,xx,md,11.1084,10.9265,10.8168,10.7689,10.713,10.647
xx,xx,xx,xx,hi,15.106,14.9225,14.7597,14.6974,14.6553,14.6152
xx,xx,With COVID,xx,lo,8.0713,9.2189,11.2771,11.2275,9.0249,8.5328
xx,xx,xx,xx,md,11.1084,12.6453,15.7915,15.9579,12.6382,11.9101
xx,xx,xx,xx,hi,15.106,16.8188,21.101,21.2705,17.134,16.2458
xx,CHL,Baseline,xx,lo,2.0815,2.0569,2.0365,2.0146,1.9892,1.9706
xx,xx,xx,xx,md,2.1923,2.1697,2.1551,2.138,2.1232,2.1102
xx,xx,xx,xx,hi,2.3113,2.2934,2.2776,2.2666,2.2628,2.2576
xx,xx,With COVID,xx,lo,2.0815,2.343,2.7728,2.7655,2.1699,2.0573
xx,xx,xx,xx,md,2.1923,2.4861,3.0851,3.1056,2.5047,2.3428
xx,xx,xx,xx,hi,2.3113,2.6682,3.4321,3.6001,2.9719,2.8089
xx,CRI,Baseline,xx,lo,0.86161,0.85205,0.84368,0.83647,0.82701,0.8178
xx,xx,xx,xx,md,0.96579,0.95776,0.95082,0.9446,0.93822,0.9321
xx,xx,xx,xx,hi,1.0671,1.063,1.0603,1.0577,1.051,1.046
xx,xx,With COVID,xx,lo,0.86161,0.96576,1.1726,1.1537,0.92407,0.87333
xx,xx,xx,xx,md,0.96579,1.0989,1.3535,1.3749,1.1058,1.0385
xx,xx,xx,xx,hi,1.0671,1.2321,1.5875,1.6547,1.3454,1.2611
xx,CUB,Baseline,xx,lo,0.41601,0.40992,0.40626,0.40264,0.39866,0.39414
xx,xx,xx,xx,md,0.46505,0.46088,0.45785,0.45549,0.4536,0.451
xx,xx,xx,xx,hi,0.52981,0.52919,0.52863,0.52807,0.52728,0.52458
xx,xx,With COVID,xx,lo,0.41601,0.46165,0.5546,0.56021,0.43997,0.41997
xx,xx,xx,xx,md,0.46505,0.53193,0.6535,0.65637,0.52929,0.49822
xx,xx,xx,xx,hi,0.52981,0.61929,0.7897,0.81002,0.65957,0.61842
xx,DOM,Baseline,xx,lo,2.4447,2.4228,2.4027,2.3839,2.3661,2.349
xx,xx,xx,xx,md,3.9628,3.9099,3.9084,3.8593,3.822,3.8017
xx,xx,xx,xx,hi,6.0769,6.0396,6.0022,5.9663,5.9314,5.9228
xx,xx,With COVID,xx,lo,2.4447,2.8001,3.3882,3.4168,2.7462,2.5704
xx,xx,xx,xx,md,3.9628,4.5572,5.6432,5.6537,4.614,4.3153
xx,xx,xx,xx,hi,6.0769,6.9539,8.7125,8.9343,7.4497,7.0334
xx,ECU,Baseline,xx,lo,3.9134,3.87,3.8258,3.7899,3.7565,3.7233
xx,xx,xx,xx,md,4.6281,4.566,4.5465,4.4989,4.4647,4.4425
xx,xx,xx,xx,hi,5.3964,5.3745,5.3609,5.3485,5.3369,5.3259
xx,xx,With COVID,xx,lo,3.9134,4.4886,5.4469,5.3464,4.2084,3.9882
xx,xx,xx,xx,md,4.6281,5.2787,6.4943,6.5003,5.2337,4.9435
xx,xx,xx,xx,hi,5.3964,6.1796,7.7996,8.045,6.6645,6.2479
xx,GRD,Baseline,xx,lo,1.8283,1.8014,1.7894,1.7889,1.7885,1.7827
xx,xx,xx,xx,md,2.1019,2.082,2.0681,2.0536,2.0458,2.0325
xx,xx,xx,xx,hi,2.4355,2.4274,2.4131,2.3946,2.3789,2.3689
xx,xx,With COVID,xx,lo,1.8283,2.0868,2.5108,2.5745,2.0362,1.9217
xx,xx,xx,xx,md,2.1019,2.3927,2.9702,2.9828,2.4085,2.2602
xx,xx,xx,xx,hi,2.4355,2.8099,3.5618,3.579,2.9317,2.7573
xx,GTM,Baseline,xx,lo,2.5511,2.514,2.4873,2.4701,2.4487,2.4266
xx,xx,xx,xx,md,3.0042,2.977,2.9456,2.925,2.9131,2.8927
xx,xx,xx,xx,hi,3.4324,3.4065,3.3794,3.3535,3.3432,3.3335
xx,xx,With COVID,xx,lo,2.5511,2.8673,3.4841,3.5085,2.7973,2.653
xx,xx,xx,xx,md,3.0042,3.4167,4.208,4.2506,3.4392,3.2322
xx,xx,xx,xx,hi,3.4324,3.9121,4.9443,5.0828,4.2228,3.9456
xx,GUY,Baseline,xx,lo,14.2279,14.1255,13.973,13.8333,13.6875,13.5549
xx,xx,xx,xx,md,15.9478,15.8033,15.654,15.5249,15.4513,15.3366
xx,xx,xx,xx,hi,18.1715,17.9779,17.8993,17.8415,17.7868,17.728
xx,xx,With COVID,xx,lo,14.2279,16.1165,19.4969,19.4792,15.3678,14.5489
xx,xx,xx,xx,md,15.9478,17.9789,22.1903,22.6518,18.3088,17.1606
xx,xx,xx,xx,hi,18.1715,20.8906,26.3622,27.6512,22.6967,21.4287
xx,HND,Baseline,xx,lo,4.2069,4.1836,4.1637,4.1413,4.1028,4.0665
xx,xx,xx,xx,md,5.0149,4.9828,4.9429,4.9026,4.8715,4.8321
xx,xx,xx,xx,hi,5.8318,5.7735,5.7297,5.6937,5.6597,5.6335
xx,xx,With COVID,xx,lo,4.2069,4.7501,5.8255,5.9431,4.6341,4.3616
xx,xx,xx,xx,md,5.0149,5.6753,7.0401,7.0913,5.7385,5.3762
xx,xx,xx,xx,hi,5.8318,6.7327,8.4382,8.8108,7.2675,6.8737
xx,JAM,Baseline,xx,lo,0.27872,0.27336,0.27016,0.26752,0.26511,0.26289
xx,xx,xx,xx,md,0.33402,0.33166,0.32901,0.32791,0.32637,0.32416
xx,xx,xx,xx,hi,0.4119,0.40919,0.40769,0.40652,0.40549,0.40484
xx,xx,With COVID,xx,lo,0.27872,0.31212,0.37908,0.37947,0.29407,0.27952
xx,xx,xx,xx,md,0.33402,0.38229,0.47543,0.47723,0.38553,0.36332
xx,xx,xx,xx,hi,0.4119,0.48123,0.61246,0.6317,0.50463,0.47354
xx,NIC,Baseline,xx,lo,2.2398,2.234,2.219,2.198,2.1784,2.1598
xx,xx,xx,xx,md,2.6613,2.6476,2.63,2.6064,2.5882,2.5772
xx,xx,xx,xx,hi,3.078,3.0318,2.9955,2.9736,2.9611,2.9498
xx,xx,With COVID,xx,lo,2.2398,2.4851,2.9763,3.0597,2.4374,2.3117
xx,xx,xx,xx,md,2.6613,3.0304,3.7819,3.7881,3.032,2.8492
xx,xx,xx,xx,hi,3.078,3.493,4.4712,4.5469,3.6855,3.4906
xx,PRI,Baseline,xx,lo,0.15846,0.15683,0.15532,0.15375,0.15232,0.15095
xx,xx,xx,xx,md,0.17825,0.17681,0.17536,0.17365,0.17271,0.17218
xx,xx,xx,xx,hi,0.20313,0.20037,0.19846,0.19802,0.19697,0.1959
xx,xx,With COVID,xx,lo,0.15846,0.17759,0.21073,0.21181,0.16845,0.15969
xx,xx,xx,xx,md,0.17825,0.20187,0.25017,0.25247,0.20441,0.19169
xx,xx,xx,xx,hi,0.20313,0.2315,0.29003,0.29864,0.24394,0.22999
xx,PRY,Baseline,xx,lo,3.7344,3.6906,3.6598,3.6326,3.6077,3.5844
xx,xx,xx,xx,md,4.163,4.1221,4.0832,4.0665,4.046,4.0287
xx,xx,xx,xx,hi,4.7115,4.6714,4.6527,4.6355,4.6195,4.6043
xx,xx,With COVID,xx,lo,3.7344,4.1956,5.055,5.077,4.0089,3.8374
xx,xx,xx,xx,md,4.163,4.7215,5.8831,5.9224,4.7971,4.5049
xx,xx,xx,xx,hi,4.7115,5.4312,6.8977,7.121,5.8276,5.5308
xx,SUR,Baseline,xx,lo,3.3185,3.2855,3.2393,3.1985,3.1736,3.1499
xx,xx,xx,xx,md,4.0251,3.9814,3.9508,3.9213,3.8954,3.8583
xx,xx,xx,xx,hi,4.851,4.8078,4.7655,4.7484,4.7269,4.7062
xx,xx,With COVID,xx,lo,3.3185,3.7035,4.4824,4.5403,3.634,3.4157
xx,xx,xx,xx,md,4.0251,4.5217,5.6415,5.7136,4.6324,4.334
xx,xx,xx,xx,hi,4.851,5.611,7.0552,7.1108,5.7725,5.4725
xx,SXM,Baseline,xx,lo,0.66856,0.65963,0.65215,0.64439,0.63688,0.63003
xx,xx,xx,xx,md,1.1066,1.0938,1.0928,1.0875,1.0794,1.0708
xx,xx,xx,xx,hi,1.7208,1.7113,1.7031,1.6902,1.6711,1.6597
xx,xx,With COVID,xx,lo,0.66856,0.73585,0.90187,0.91337,0.74558,0.69952
xx,xx,xx,xx,md,1.1066,1.2561,1.569,1.6082,1.2981,1.2224
xx,xx,xx,xx,hi,1.7208,1.9604,2.4382,2.4581,2.0165,1.9213
