"iso3","year","bcg_coverage"
"AFG",2015,76
"AGO",2015,64
"ALB",2015,99
"ARE",2015,96
"ARG",2015,96
"ARM",2015,99
"AZE",2015,98
"BDI",2015,93
"BEN",2015,96
"BFA",2015,98
"BGD",2015,99
"BGR",2015,96
"BIH",2015,95
"BLR",2015,97
"BLZ",2015,98
"BOL",2015,99
"BRA",2015,99
"BRN",2015,99
"BTN",2015,99
"BWA",2015,98
"CAF",2015,64
"CHL",2015,93
"CHN",2015,99
"CIV",2015,80
"CMR",2015,83
"COD",2015,79
"COG",2015,85
"COK",2015,99
"COL",2015,90
"COM",2015,94
"CPV",2015,94
"CRI",2015,99
"CUB",2015,99
"DJI",2015,92
"DMA",2015,98
"DOM",2015,99
"DZA",2015,99
"ECU",2015,88
"EGY",2015,96
"ERI",2015,97
"EST",2015,95
"ETH",2015,70
"FJI",2015,99
"FSM",2015,76
"GAB",2015,98
"GEO",2015,96
"GHA",2015,97
"GIN",2015,72
"GMB",2015,98
"GNB",2015,92
"GNQ",2015,77
"GTM",2015,92
"GUY",2015,99
"HND",2015,94
"HRV",2015,98
"HTI",2015,83
"HUN",2015,99
"IDN",2015,90
"IND",2015,87
"IRL",2015,77
"IRN",2015,99
"IRQ",2015,94
"JAM",2015,99
"JOR",2015,98
"JPN",2015,84
"KAZ",2015,95
"KEN",2015,87
"KGZ",2015,97
"KHM",2015,99
"KIR",2015,79
"KNA",2015,95
"KOR",2015,97
"KWT",2015,99
"LAO",2015,89
"LBR",2015,74
"LBY",2015,99
"LCA",2015,99
"LKA",2015,99
"LSO",2015,95
"LTU",2015,97
"LVA",2015,93
"MAR",2015,99
"MDA",2015,97
"MDG",2015,56
"MDV",2015,99
"MEX",2015,98
"MHL",2015,99
"MKD",2015,94
"MLI",2015,78
"MMR",2015,94
"MNE",2015,88
"MNG",2015,99
"MOZ",2015,94
"MRT",2015,85
"MUS",2015,98
"MWI",2015,90
"MYS",2015,99
"NAM",2015,94
"NER",2015,94
"NGA",2015,53
"NIC",2015,99
"NIU",2015,99
"NPL",2015,94
"NRU",2015,99
"OMN",2015,99
"PAK",2015,86
"PAN",2015,99
"PER",2015,91
"PHL",2015,85
"PNG",2015,67
"POL",2015,94
"PRK",2015,97
"PRT",2015,32
"PRY",2015,96
"PSE",2015,99
"QAT",2015,97
"ROU",2015,98
"RUS",2015,96
"RWA",2015,99
"SAU",2015,98
"SDN",2015,88
"SEN",2015,95
"SGP",2015,99
"SLB",2015,79
"SLE",2015,90
"SLV",2015,99
"SOM",2015,37
"SRB",2015,98
"SSD",2015,55
"STP",2015,97
"SWE",2015,24
"SWZ",2015,98
"SYC",2015,99
"SYR",2015,66
"TCD",2015,70
"TGO",2015,93
"THA",2015,99
"TJK",2015,98
"TKM",2015,99
"TLS",2015,79
"TON",2015,91
"TUN",2015,97
"TUR",2015,96
"TUV",2015,99
"TZA",2015,97
"UGA",2015,95
"UKR",2015,39
"URY",2015,98
"UZB",2015,99
"VCT",2015,99
"VEN",2015,99
"VNM",2015,97
"VUT",2015,95
"WSM",2015,86
"YEM",2015,47
"ZAF",2015,83
"ZMB",2015,97
"ZWE",2015,90
"AFG",2016,78
"AGO",2016,40
"ALB",2016,99
"ARE",2016,99
"ARG",2016,92
"ARM",2016,99
"AZE",2016,98
"BDI",2016,93
"BEN",2016,88
"BFA",2016,98
"BGD",2016,99
"BGR",2016,96
"BIH",2016,97
"BLR",2016,98
"BLZ",2016,94
"BOL",2016,96
"BRA",2016,90
"BRN",2016,99
"BTN",2016,99
"BWA",2016,98
"CAF",2016,61
"CHL",2016,97
"CHN",2016,99
"CIV",2016,95
"CMR",2016,84
"COD",2016,83
"COG",2016,80
"COK",2016,99
"COL",2016,88
"COM",2016,94
"CPV",2016,96
"CRI",2016,99
"CUB",2016,99
"DJI",2016,90
"DMA",2016,98
"DOM",2016,99
"DZA",2016,99
"ECU",2016,84
"EGY",2016,96
"ERI",2016,97
"EST",2016,95
"ETH",2016,72
"FJI",2016,99
"FSM",2016,85
"GAB",2016,94
"GEO",2016,98
"GHA",2016,94
"GIN",2016,73
"GMB",2016,98
"GNB",2016,91
"GNQ",2016,85
"GTM",2016,91
"GUY",2016,95
"HND",2016,93
"HRV",2016,99
"HTI",2016,83
"HUN",2016,99
"IDN",2016,90
"IND",2016,89
"IRL",2016,18
"IRN",2016,99
"IRQ",2016,87
"JAM",2016,96
"JOR",2016,99
"JPN",2016,98
"KAZ",2016,95
"KEN",2016,99
"KGZ",2016,97
"KHM",2016,99
"KIR",2016,79
"KNA",2016,96
"KOR",2016,98
"KWT",2016,96
"LAO",2016,89
"LBR",2016,81
"LBY",2016,99
"LCA",2016,96
"LKA",2016,99
"LSO",2016,96
"LTU",2016,98
"LVA",2016,96
"MAR",2016,99
"MDA",2016,97
"MDG",2016,74
"MDV",2016,99
"MEX",2016,99
"MHL",2016,94
"MKD",2016,99
"MLI",2016,82
"MMR",2016,88
"MNE",2016,85
"MNG",2016,99
"MOZ",2016,94
"MRT",2016,86
"MUS",2016,98
"MWI",2016,86
"MYS",2016,99
"NAM",2016,89
"NER",2016,91
"NGA",2016,64
"NIC",2016,99
"NIU",2016,92
"NPL",2016,93
"NRU",2016,99
"OMN",2016,99
"PAK",2016,86
"PAN",2016,99
"PER",2016,90
"PHL",2016,90
"PNG",2016,72
"POL",2016,93
"PRK",2016,97
"PRY",2016,94
"PSE",2016,99
"QAT",2016,97
"ROU",2016,84
"RUS",2016,96
"RWA",2016,99
"SAU",2016,98
"SDN",2016,96
"SEN",2016,97
"SGP",2016,99
"SLB",2016,80
"SLE",2016,92
"SLV",2016,87
"SOM",2016,37
"SRB",2016,98
"SSD",2016,52
"STP",2016,92
"SWE",2016,26
"SWZ",2016,97
"SYC",2016,99
"SYR",2016,72
"TCD",2016,59
"TGO",2016,93
"THA",2016,99
"TJK",2016,98
"TKM",2016,98
"TLS",2016,86
"TON",2016,91
"TUN",2016,95
"TUR",2016,96
"TUV",2016,99
"TZA",2016,95
"UGA",2016,94
"UKR",2016,75
"URY",2016,98
"UZB",2016,99
"VCT",2016,99
"VEN",2016,97
"VNM",2016,95
"VUT",2016,94
"WSM",2016,81
"YEM",2016,73
"ZAF",2016,79
"ZMB",2016,99
"ZWE",2016,95
"AFG",2017,84
"AGO",2017,69
"ALB",2017,99
"ARE",2017,95
"ARG",2017,95
"ARM",2017,99
"AZE",2017,97
"BDI",2017,92
"BEN",2017,88
"BFA",2017,98
"BGD",2017,99
"BGR",2017,96
"BIH",2017,97
"BLR",2017,98
"BLZ",2017,90
"BOL",2017,93
"BRA",2017,91
"BRN",2017,99
"BTN",2017,99
"BWA",2017,98
"CAF",2017,61
"CHL",2017,96
"CHN",2017,99
"CIV",2017,93
"CMR",2017,87
"COD",2017,85
"COG",2017,76
"COK",2017,99
"COL",2017,91
"COM",2017,94
"CPV",2017,98
"CRI",2017,99
"CUB",2017,99
"DJI",2017,92
"DMA",2017,97
"DOM",2017,99
"DZA",2017,99
"ECU",2017,88
"EGY",2017,86
"ERI",2017,97
"EST",2017,94
"ETH",2017,73
"FJI",2017,99
"FSM",2017,83
"GAB",2017,93
"GEO",2017,96
"GHA",2017,99
"GIN",2017,73
"GMB",2017,94
"GNB",2017,87
"GNQ",2017,85
"GTM",2017,93
"GUY",2017,97
"HND",2017,92
"HRV",2017,98
"HTI",2017,83
"HUN",2017,99
"IDN",2017,93
"IND",2017,92
"IRL",2017,0
"IRN",2017,99
"IRQ",2017,92
"JAM",2017,93
"JOR",2017,99
"JPN",2017,93
"KAZ",2017,95
"KEN",2017,89
"KGZ",2017,97
"KHM",2017,99
"KIR",2017,89
"KNA",2017,97
"KOR",2017,98
"KWT",2017,99
"LAO",2017,91
"LBR",2017,87
"LBY",2017,99
"LCA",2017,88
"LKA",2017,99
"LSO",2017,96
"LTU",2017,97
"LVA",2017,96
"MAR",2017,99
"MDA",2017,96
"MDG",2017,74
"MDV",2017,99
"MEX",2017,94
"MHL",2017,92
"MKD",2017,97
"MLI",2017,83
"MMR",2017,91
"MNE",2017,83
"MNG",2017,99
"MOZ",2017,94
"MRT",2017,88
"MUS",2017,99
"MWI",2017,89
"MYS",2017,98
"NAM",2017,94
"NER",2017,92
"NGA",2017,67
"NIC",2017,99
"NIU",2017,99
"NPL",2017,95
"NRU",2017,99
"OMN",2017,99
"PAK",2017,86
"PAN",2017,99
"PER",2017,84
"PHL",2017,83
"PNG",2017,62
"POL",2017,92
"PRK",2017,98
"PRY",2017,96
"PSE",2017,99
"QAT",2017,99
"ROU",2017,97
"RUS",2017,95
"RWA",2017,98
"SAU",2017,97
"SDN",2017,97
"SEN",2017,99
"SGP",2017,99
"SLB",2017,78
"SLE",2017,90
"SLV",2017,83
"SOM",2017,37
"SRB",2017,97
"SSD",2017,52
"STP",2017,94
"SWE",2017,25
"SWZ",2017,98
"SYC",2017,99
"SYR",2017,78
"TCD",2017,59
"TGO",2017,89
"THA",2017,99
"TJK",2017,98
"TKM",2017,98
"TLS",2017,95
"TON",2017,99
"TUN",2017,91
"TUR",2017,93
"TUV",2017,99
"TZA",2017,93
"UGA",2017,89
"UKR",2017,84
"URY",2017,98
"UZB",2017,99
"VCT",2017,99
"VEN",2017,94
"VNM",2017,97
"VUT",2017,95
"WSM",2017,89
"YEM",2017,66
"ZAF",2017,75
"ZMB",2017,99
"ZWE",2017,95
"AFG",2018,89
"AGO",2018,72
"ALB",2018,99
"ARE",2018,95
"ARG",2018,93
"ARM",2018,99
"AZE",2018,97
"BDI",2018,91
"BEN",2018,88
"BFA",2018,98
"BGD",2018,99
"BGR",2018,96
"BIH",2018,95
"BLR",2018,98
"BLZ",2018,99
"BOL",2018,90
"BRA",2018,92
"BRN",2018,99
"BTN",2018,99
"BWA",2018,98
"CAF",2018,61
"CHL",2018,96
"CHN",2018,99
"CIV",2018,96
"CMR",2018,84
"COD",2018,86
"COG",2018,81
"COK",2018,99
"COL",2018,89
"COM",2018,94
"CPV",2018,96
"CRI",2018,99
"CUB",2018,99
"DJI",2018,93
"DMA",2018,95
"DOM",2018,99
"DZA",2018,99
"ECU",2018,90
"EGY",2018,95
"ERI",2018,97
"EST",2018,92
"ETH",2018,71
"FJI",2018,99
"FSM",2018,80
"GAB",2018,87
"GEO",2018,97
"GHA",2018,98
"GIN",2018,73
"GMB",2018,94
"GNB",2018,89
"GNQ",2018,85
"GTM",2018,88
"GUY",2018,99
"HND",2018,93
"HRV",2018,98
"HTI",2018,83
"HUN",2018,99
"IDN",2018,92
"IND",2018,92
"IRL",2018,0
"IRN",2018,99
"IRQ",2018,95
"JAM",2018,93
"JOR",2018,94
"JPN",2018,99
"KAZ",2018,95
"KEN",2018,95
"KGZ",2018,97
"KHM",2018,93
"KIR",2018,90
"KNA",2018,97
"KOR",2018,98
"KWT",2018,96
"LAO",2018,92
"LBR",2018,92
"LBY",2018,74
"LCA",2018,99
"LKA",2018,99
"LSO",2018,96
"LTU",2018,96
"LVA",2018,95
"MAR",2018,99
"MDA",2018,96
"MDG",2018,75
"MDV",2018,99
"MEX",2018,96
"MHL",2018,98
"MKD",2018,93
"MLI",2018,83
"MMR",2018,90
"MNE",2018,93
"MNG",2018,99
"MOZ",2018,93
"MRT",2018,89
"MUS",2018,99
"MWI",2018,92
"MYS",2018,99
"NAM",2018,96
"NER",2018,87
"NGA",2018,70
"NIC",2018,99
"NIU",2018,99
"NPL",2018,96
"NRU",2018,99
"OMN",2018,99
"PAK",2018,90
"PAN",2018,99
"PER",2018,81
"PHL",2018,77
"PNG",2018,52
"POL",2018,92
"PRK",2018,96
"PRY",2018,91
"PSE",2018,99
"QAT",2018,99
"ROU",2018,96
"RUS",2018,95
"RWA",2018,97
"SAU",2018,98
"SDN",2018,88
"SEN",2018,94
"SGP",2018,98
"SLB",2018,83
"SLE",2018,88
"SLV",2018,81
"SOM",2018,37
"SRB",2018,98
"SSD",2018,52
"STP",2018,96
"SWE",2018,26
"SWZ",2018,98
"SYC",2018,97
"SYR",2018,79
"TCD",2018,26
"TGO",2018,97
"THA",2018,99
"TJK",2018,99
"TKM",2018,98
"TLS",2018,95
"TON",2018,99
"TUN",2018,92
"TUR",2018,96
"TUV",2018,99
"TZA",2018,91
"UGA",2018,88
"UKR",2018,90
"URY",2018,98
"UZB",2018,96
"VCT",2018,99
"VEN",2018,92
"VNM",2018,95
"VUT",2018,94
"WSM",2018,68
"YEM",2018,64
"ZAF",2018,70
"ZMB",2018,91
"ZWE",2018,95
"AFG",2019,86
"AGO",2019,69
"ALB",2019,99
"ARE",2019,94
"ARG",2019,85
"ARM",2019,99
"AZE",2019,96
"BDI",2019,93
"BEN",2019,88
"BFA",2019,98
"BGD",2019,99
"BGR",2019,96
"BIH",2019,95
"BLR",2019,97
"BLZ",2019,95
"BOL",2019,80
"BRA",2019,79
"BRN",2019,99
"BTN",2019,92
"BWA",2019,98
"CAF",2019,61
"CHL",2019,98
"CHN",2019,99
"CIV",2019,97
"CMR",2019,80
"COD",2019,84
"COG",2019,80
"COK",2019,99
"COL",2019,90
"COM",2019,94
"CPV",2019,98
"CRI",2019,99
"CUB",2019,99
"DJI",2019,95
"DMA",2019,98
"DOM",2019,99
"DZA",2019,99
"ECU",2019,86
"EGY",2019,96
"ERI",2019,97
"EST",2019,92
"ETH",2019,69
"FJI",2019,99
"FSM",2019,77
"GAB",2019,92
"GEO",2019,96
"GHA",2019,96
"GIN",2019,73
"GMB",2019,88
"GNB",2019,84
"GNQ",2019,85
"GTM",2019,86
"GUY",2019,99
"HND",2019,87
"HRV",2019,98
"HTI",2019,73
"HUN",2019,99
"IDN",2019,90
"IND",2019,92
"IRL",2019,0
"IRN",2019,99
"IRQ",2019,98
"JAM",2019,97
"JOR",2019,86
"JPN",2019,97
"KAZ",2019,87
"KEN",2019,93
"KGZ",2019,96
"KHM",2019,98
"KIR",2019,92
"KNA",2019,99
"KOR",2019,98
"KWT",2019,97
"LAO",2019,85
"LBR",2019,84
"LBY",2019,74
"LCA",2019,95
"LKA",2019,99
"LSO",2019,96
"LTU",2019,97
"LVA",2019,96
"MAR",2019,99
"MDA",2019,94
"MDG",2019,79
"MDV",2019,99
"MEX",2019,76
"MHL",2019,89
"MKD",2019,93
"MLI",2019,83
"MMR",2019,91
"MNE",2019,80
"MNG",2019,99
"MOZ",2019,93
"MRT",2019,90
"MUS",2019,99
"MWI",2019,91
"MYS",2019,99
"NAM",2019,98
"NER",2019,70
"NGA",2019,72
"NIC",2019,99
"NIU",2019,99
"NPL",2019,96
"NRU",2019,99
"OMN",2019,99
"PAK",2019,93
"PAN",2019,99
"PER",2019,94
"PHL",2019,70
"PNG",2019,52
"POL",2019,92
"PRK",2019,96
"PRY",2019,87
"PSE",2019,99
"QAT",2019,99
"ROU",2019,96
"RUS",2019,96
"RWA",2019,98
"SAU",2019,52
"SDN",2019,92
"SEN",2019,95
"SGP",2019,98
"SLB",2019,77
"SLE",2019,86
"SLV",2019,78
"SOM",2019,37
"SRB",2019,98
"SSD",2019,52
"STP",2019,95
"SWE",2019,25
"SWZ",2019,98
"SYC",2019,98
"SYR",2019,84
"TCD",2019,51
"TGO",2019,98
"THA",2019,99
"TJK",2019,98
"TKM",2019,98
"TLS",2019,95
"TON",2019,99
"TUN",2019,91
"TUR",2019,96
"TUV",2019,99
"TZA",2019,91
"UGA",2019,88
"UKR",2019,84
"URY",2019,99
"UZB",2019,99
"VCT",2019,99
"VEN",2019,91
"VNM",2019,96
"VUT",2019,97
"WSM",2019,96
"YEM",2019,69
"ZAF",2019,84
"ZMB",2019,95
"ZWE",2019,95
"AFG",2020,87
"AGO",2020,58
"ALB",2020,98
"ARE",2020,86
"ARG",2020,75
"ARM",2020,99
"AZE",2020,94
"BDI",2020,83
"BEN",2020,88
"BFA",2020,98
"BGD",2020,99
"BGR",2020,97
"BIH",2020,95
"BLR",2020,97
"BLZ",2020,76
"BOL",2020,82
"BRA",2020,67
"BRN",2020,99
"BTN",2020,98
"BWA",2020,98
"CAF",2020,61
"CHL",2020,98
"CHN",2020,99
"CIV",2020,91
"CMR",2020,80
"COD",2020,83
"COG",2020,72
"COK",2020,99
"COL",2020,89
"COM",2020,91
"CPV",2020,98
"CRI",2020,99
"CUB",2020,99
"DJI",2020,77
"DMA",2020,98
"DOM",2020,85
"DZA",2020,99
"ECU",2020,81
"EGY",2020,96
"ERI",2020,97
"EST",2020,91
"ETH",2020,70
"FJI",2020,99
"FSM",2020,84
"GAB",2020,85
"GEO",2020,96
"GHA",2020,93
"GIN",2020,72
"GMB",2020,85
"GNB",2020,67
"GNQ",2020,85
"GTM",2020,86
"GUY",2020,94
"HND",2020,83
"HRV",2020,98
"HTI",2020,73
"HUN",2020,99
"IDN",2020,87
"IND",2020,85
"IRL",2020,0
"IRN",2020,98
"IRQ",2020,99
"JAM",2020,99
"JOR",2020,76
"JPN",2020,95
"KAZ",2020,93
"KEN",2020,92
"KGZ",2020,96
"KHM",2020,97
"KIR",2020,93
"KNA",2020,98
"KOR",2020,98
"KWT",2020,98
"LAO",2020,90
"LBR",2020,85
"LBY",2020,74
"LCA",2020,89
"LKA",2020,99
"LSO",2020,96
"LTU",2020,96
"LVA",2020,99
"MAR",2020,99
"MDA",2020,95
"MDG",2020,75
"MDV",2020,99
"MEX",2020,28
"MHL",2020,91
"MKD",2020,93
"MLI",2020,78
"MMR",2020,87
"MNE",2020,67
"MNG",2020,99
"MOZ",2020,91
"MRT",2020,82
"MUS",2020,96
"MWI",2020,87
"MYS",2020,99
"NAM",2020,99
"NER",2020,94
"NGA",2020,75
"NIC",2020,93
"NIU",2020,94
"NPL",2020,92
"NRU",2020,99
"OMN",2020,99
"PAK",2020,91
"PAN",2020,99
"PER",2020,87
"PHL",2020,64
"PNG",2020,52
"POL",2020,91
"PRK",2020,99
"PRY",2020,84
"PSE",2020,99
"QAT",2020,98
"ROU",2020,97
"RUS",2020,95
"RWA",2020,89
"SAU",2020,95
"SDN",2020,92
"SEN",2020,95
"SGP",2020,98
"SLB",2020,82
"SLE",2020,72
"SLV",2020,79
"SOM",2020,37
"SRB",2020,98
"SSD",2020,52
"STP",2020,94
"SWE",2020,26
"SWZ",2020,97
"SYC",2020,99
"SYR",2020,74
"TCD",2020,60
"TGO",2020,96
"THA",2020,99
"TJK",2020,98
"TKM",2020,98
"TLS",2020,88
"TON",2020,99
"TUN",2020,92
"TUR",2020,96
"TUV",2020,99
"TZA",2020,87
"UGA",2020,91
"UKR",2020,93
"URY",2020,99
"UZB",2020,99
"VCT",2020,99
"VEN",2020,82
"VNM",2020,95
"VUT",2020,77
"WSM",2020,99
"YEM",2020,71
"ZAF",2020,86
"ZMB",2020,85
"ZWE",2020,88
"AFG",2021,84
"AGO",2021,56
"ALB",2021,99
"ARE",2021,99
"ARG",2021,81
"ARM",2021,98
"AZE",2021,95
"BDI",2021,95
"BEN",2021,88
"BFA",2021,98
"BGD",2021,99
"BGR",2021,97
"BIH",2021,95
"BLR",2021,98
"BLZ",2021,84
"BOL",2021,78
"BRA",2021,63
"BRN",2021,99
"BTN",2021,99
"BWA",2021,98
"CAF",2021,61
"CHL",2021,98
"CHN",2021,99
"CIV",2021,93
"CMR",2021,77
"COD",2021,67
"COG",2021,81
"COK",2021,99
"COL",2021,87
"COM",2021,96
"CPV",2021,98
"CRI",2021,88
"CUB",2021,99
"DJI",2021,61
"DMA",2021,89
"DOM",2021,99
"DZA",2021,99
"ECU",2021,75
"EGY",2021,97
"ERI",2021,97
"EST",2021,90
"ETH",2021,68
"FJI",2021,99
"FSM",2021,59
"GAB",2021,86
"GEO",2021,96
"GHA",2021,99
"GIN",2021,72
"GMB",2021,81
"GNB",2021,34
"GNQ",2021,85
"GTM",2021,84
"GUY",2021,89
"HND",2021,82
"HRV",2021,97
"HTI",2021,73
"HUN",2021,99
"IDN",2021,81
"IND",2021,84
"IRL",2021,0
"IRN",2021,99
"IRQ",2021,94
"JAM",2021,97
"JOR",2021,76
"JPN",2021,95
"KAZ",2021,94
"KEN",2021,97
"KGZ",2021,97
"KHM",2021,95
"KIR",2021,96
"KNA",2021,96
"KOR",2021,98
"KWT",2021,99
"LAO",2021,80
"LBR",2021,81
"LBY",2021,74
"LCA",2021,81
"LKA",2021,99
"LSO",2021,96
"LTU",2021,93
"LVA",2021,96
"MAR",2021,99
"MDA",2021,98
"MDG",2021,52
"MDV",2021,99
"MEX",2021,99
"MHL",2021,83
"MKD",2021,93
"MLI",2021,83
"MMR",2021,48
"MNE",2021,76
"MNG",2021,99
"MOZ",2021,79
"MRT",2021,79
"MUS",2021,95
"MWI",2021,89
"MYS",2021,99
"NAM",2021,99
"NER",2021,95
"NGA",2021,75
"NIC",2021,86
"NIU",2021,88
"NPL",2021,95
"NRU",2021,99
"OMN",2021,99
"PAK",2021,93
"PAN",2021,99
"PER",2021,87
"PHL",2021,47
"PNG",2021,42
"POL",2021,91
"PRK",2021,95
"PRY",2021,79
"PSE",2021,99
"QAT",2021,99
"ROU",2021,97
"RUS",2021,95
"RWA",2021,89
"SAU",2021,94
"SDN",2021,80
"SEN",2021,87
"SGP",2021,98
"SLB",2021,83
"SLE",2021,74
"SLV",2021,78
"SOM",2021,37
"SRB",2021,98
"SSD",2021,52
"STP",2021,93
"SWE",2021,24
"SWZ",2021,97
"SYC",2021,99
"SYR",2021,76
"TCD",2021,67
"TGO",2021,98
"THA",2021,99
"TJK",2021,98
"TKM",2021,98
"TLS",2021,88
"TON",2021,99
"TUN",2021,85
"TUR",2021,95
"TUV",2021,99
"TZA",2021,75
"UGA",2021,83
"UKR",2021,86
"URY",2021,99
"UZB",2021,99
"VCT",2021,99
"VEN",2021,68
"VNM",2021,88
"VUT",2021,76
"WSM",2021,92
"YEM",2021,70
"ZAF",2021,86
"ZMB",2021,92
"ZWE",2021,88
