iso3,g_hb_mdr,x,y,size,g_whoregion,country
IND,1,3.357445866102566,2.585834402723866,52800,South-East Asia Region,India
RUS,1,4.085389956997788,4.557517776996185,32583,European Region,Russian Federation
CHN,1,4.098862829030333,4.205103936159549,18010,Western Pacific Region,China
IDN,1,3.63264074583636,3.203201297774789,14536,South-East Asia Region,Indonesia
ZAF,1,3.844738770464068,3.4706018160641,13719,African Region,South Africa
PHL,1,3.550084990511495,3.436607672317254,9900,Western Pacific Region,Philippines
UKR,1,3.68444783417156,3.439153087410273,7394,European Region,Ukraine
NGA,1,3.319112467403465,3.389658147645271,7330,African Region,Nigeria
KAZ,1,4.001798153116102,3.945209827675144,4300,European Region,Kazakhstan
VNM,1,3.567499130315452,3.46740352726653,4008,Western Pacific Region,Viet Nam
COD,1,2.76649197164254,3.017288132440716,3532,African Region,Democratic Republic of the Congo
PAK,1,3.186938378981364,3.15258412181657,3528,Eastern Mediterranean Region,Pakistan
MMR,1,3.074537965757684,3.147125699253434,2921,South-East Asia Region,Myanmar
AGO,1,3.329989295454511,3.505939457692575,2818,African Region,Angola
UZB,1,3.297336888857463,4.091377067733679,2818,European Region,Uzbekistan
THA,0,3.859341812878046,3.799102287191142,1850,South-East Asia Region,
PER,1,3.825572050890866,4.502868861406532,1737,Region of the Americas,Peru
MOZ,1,2.699356188360116,3.69247583053466,1592,African Region,Mozambique
BGD,1,3.398468463156529,3.577004782514925,1514,South-East Asia Region,Bangladesh
UGA,0,2.933516398132469,3.621995560370297,1441,African Region,
KGZ,1,3.105933251671531,3.478999095466917,1328,European Region,Kyrgyzstan
ETH,0,2.974956206774215,4.218168278840934,1200,African Region,
KEN,0,3.30251106942315,3.555374929892228,995,African Region,
ZMB,1,3.049462310721268,3.834896255924357,920,African Region,Zambia
LSO,0,3.066870471141668,3.118033077895392,905,African Region,
TZA,0,3.055202311959126,3.312132804138261,803,African Region,
AZE,1,3.731107874285852,3.385651174207211,800,European Region,Azerbaijan
BRA,0,3.876150513048151,4.075330421941683,800,Region of the Americas,
NPL,1,3.087383413842415,3.211666323726222,792,South-East Asia Region,Nepal
AFG,0,2.730966036491859,3.22194021607092,725,Eastern Mediterranean Region,
MDA,1,3.725464982299629,3.871826290004582,680,European Region,Republic of Moldova
PNG,1,3.464840738136021,3.13924455581822,676,Western Pacific Region,Papua New Guinea
BLR,1,3.863542704177545,4.422303503485678,655,European Region,Belarus
SOM,1,2.649119621694238,3.253017977009947,639,Eastern Mediterranean Region,Somalia
TKM,0,4.01328120083343,3.067499087749662,580,European Region,
TJK,1,2.952834999874789,3.527937355770196,560,European Region,Tajikistan
CIV,0,3.411410994499774,3.645758470067676,541,African Region,
MEX,0,3.996792767910069,3.193383372831989,488,Region of the Americas,
ZWE,1,3.239843314969232,3.014186692274849,472,African Region,Zimbabwe
GHA,0,3.38833050489988,3.304588971521689,384,African Region,
"NAM",0,3.674794195222145,4.352633371229521,375,African Region,
MAR,0,3.543665614504079,3.681577061263502,361,Eastern Mediterranean Region,
SLE,0,2.712592542552517,3.889195414811665,326,African Region,
GIN,0,3.069798651194453,3.565344673675893,323,African Region,
ECU,0,3.773411612582828,3.268401654337783,320,Region of the Americas,
SDN,0,2.883287158133328,3.23112339838878,319,Eastern Mediterranean Region,
MNG,1,3.656569494963128,3.644660981966792,313,Western Pacific Region,Mongolia
SWZ,0,3.624783327666795,3.770438993174693,300,African Region,
CMR,0,3.220553170090035,3.136004311164069,250,African Region,
HTI,0,3.258798628441363,3.758464753844931,246,Region of the Americas,
DOM,0,3.934689796864851,3.868186251687165,233,Region of the Americas,
MWI,0,2.807979185447989,3.826377062175311,232,African Region,
COG,0,3.345154246179013,3.266044157115609,206,African Region,
COL,0,3.787547319171864,3.825666171992086,202,Region of the Americas,
ARG,0,4.030568659600632,3.353497632850762,200,Region of the Americas,
GEO,0,3.702636047644258,3.24854951909939,191,European Region,
TUR,0,3.981665170867249,3.980475477738338,183,European Region,
KHM,0,3.201658348870572,3.438523508794474,180,Western Pacific Region,
MDG,0,2.711727835917844,3.11887698144701,177,African Region,
TCD,0,2.842872965670714,3.229804223805938,177,African Region,
BDI,0,2.37437328748467,2.967107389419464,166,African Region,
SEN,0,3.205873176875305,3.765981859773658,158,African Region,
IRQ,0,3.703152709638458,3.591051348706042,140,Eastern Mediterranean Region,
BOL,0,3.533377081074998,3.907833727280751,136,Region of the Americas,
LBR,0,2.828072536411124,2.872947085126973,126,African Region,
GAB,0,3.904011368720527,3.709038850548009,122,African Region,
BFA,0,2.962914859828806,3.015299429342134,119,African Region,
MYS,0,4.055802441375775,4.198153544650814,110,Western Pacific Region,
NER,0,2.77446229875202,2.818278673851715,104,African Region,
BWA,0,3.866142690936718,4.128700999245441,100,African Region,
DZA,0,3.57576897452192,3.375525790575648,100,African Region,
SSD,0,2.561566450067123,3.417433190565024,100,African Region,
EGY,0,3.588424057937643,4.288758592210451,98,Eastern Mediterranean Region,
BTN,0,3.503080119099852,3.661749150037081,90,South-East Asia Region,
GTM,0,3.701185808121505,3.890337434446103,90,Region of the Americas,
CAF,0,2.708832685938884,3.229609916329385,82,African Region,
RWA,0,2.921077451605199,3.518782687815318,80,African Region,
YEM,0,2.839326723764623,3.71529357659803,75,Eastern Mediterranean Region,
ARM,0,3.669317698750199,3.981840342038482,72,European Region,
IRN,0,4.224890683854609,4.224271814715219,70,Eastern Mediterranean Region,
LAO,0,3.406765968738906,2.64317794460781,68,Western Pacific Region,
DJI,0,3.526818810771879,3.513277355121814,60,Eastern Mediterranean Region,
MLI,0,2.962801550549316,4.153269812580513,56,African Region,
NIC,0,3.320302824408892,4.568436010650381,55,Region of the Americas,
GNQ,0,3.927487716016608,4.269681789673375,54,African Region,
GMB,0,2.921995531873262,3.74414967392288,50,African Region,
JAM,0,3.661495649263908,1.793872969594251,50,Region of the Americas,
VEN,0,3.22676920838963,3.445067483894775,50,Region of the Americas,
MRT,0,3.236288772396414,3.489310606512947,48,African Region,
GNB,0,2.910070445255734,3.535745235713836,45,African Region,
LKA,0,3.581462121996169,3.797971675281152,45,South-East Asia Region,
SYR,0,3.132885717126312,3.397977459835932,40,Eastern Mediterranean Region,
ERI,0,2.799734682372127,3.740440190508002,35,African Region,
TGO,0,2.996655433699915,3.768649022310214,32,African Region,
BEN,0,3.154864185015494,3.399303559532588,30,African Region,
SLV,0,3.644292851351838,3.333335970124944,29,Region of the Americas,
TLS,0,3.163705431720339,3.773905858513224,26,South-East Asia Region,
PRY,0,3.73240210996724,3.528600263292241,25,Region of the Americas,
HND,0,3.451944934941654,3.804365379186064,22,Region of the Americas,
BGR,0,4.065765305831524,4.645638650450427,20,European Region,
TUN,0,3.593767061426184,4.066295663555464,20,Eastern Mediterranean Region,
